year,stock,capture,effort
2000,Callinectes bellicosus,9574820,1531
2000,Carcharhinus falciformis,4350,1
2000,Carcharhinus leucas,102020,169
2000,Centropomus robalito,214595,1174
2000,Gerreidae,81203,1080
2000,Gerreidae2,533753,1343
2000,Hoplopagrus guntheri,28156,153
2000,Lutjanus guttatus,22764,89
2000,Megapitaria squalida,1135315,747
2000,Panulirus interruptus,1775762,1226
2000,Paralabrax nebulifer,2790713,1038
2000,Prionace glauca,88339,39
2000,Scomberomorus sierra,1285263,849587
2000,Scomberomorus sierra2,1042819,3115523
2000,Sphyrna lewini,2526,6
2000,Squatina californica,1487604,1076
2001,Callinectes bellicosus,8587125,1368
2001,Carcharhinus falciformis,2637.5,1
2001,Carcharhinus leucas,128952,187
2001,Centropomus robalito,246270,2092
2001,Gerreidae,103138,1673
2001,Gerreidae2,504590,1402
2001,Hoplopagrus guntheri,47829,201
2001,Lutjanus guttatus,42889,156
2001,Megapitaria squalida,1037696,546
2001,Panulirus interruptus,1477600,1241
2001,Paralabrax nebulifer,1854014,844
2001,Prionace glauca,88339,39
2001,Scomberomorus sierra,1135802,443213
2001,Scomberomorus sierra2,1197208,3098150
2001,Sphyrna lewini,4272,33
2001,Squatina californica,937139,993
2002,Callinectes bellicosus,6593088,1602
2002,Carcharhinus falciformis,925,1
2002,Carcharhinus leucas,85201,158
2002,Centropomus robalito,176658,1449
2002,Gerreidae,101046,1217
2002,Gerreidae2,366529,1530
2002,Hoplopagrus guntheri,51425,271
2002,Lutjanus guttatus,74299,193
2002,Megapitaria squalida,1129549,557
2002,Panulirus interruptus,1590677,939
2002,Paralabrax nebulifer,2512417,859
2002,Prionace glauca,52406,47
2002,Scomberomorus sierra,708428,335700
2002,Scomberomorus sierra2,959897,2873596
2002,Sphyrna lewini,694,9
2002,Squatina californica,476903,740
2003,Callinectes bellicosus,4569685,1484
2003,Carcharhinus falciformis,400,1
2003,Carcharhinus leucas,116591,267
2003,Centropomus robalito,237669,1771
2003,Gerreidae,148884,1717
2003,Gerreidae2,577905,1538
2003,Hoplopagrus guntheri,67784,362
2003,Lutjanus guttatus,72310,318
2003,Megapitaria squalida,1255280,806
2003,Panulirus interruptus,1836650,1044
2003,Paralabrax nebulifer,2750097,1033
2003,Prionace glauca,282734,126
2003,Scomberomorus sierra,603324,352528
2003,Scomberomorus sierra2,1083017,3526204
2003,Sphyrna lewini,27357,50
2003,Squatina californica,763500,898
2004,Callinectes bellicosus,6099950,1989
2004,Carcharhinus falciformis,43635,26
2004,Carcharhinus leucas,126275,302
2004,Centropomus robalito,307131,1858
2004,Gerreidae,134441,1934
2004,Gerreidae2,628583,778
2004,Hoplopagrus guntheri,50293,341
2004,Lutjanus guttatus,92507,374
2004,Megapitaria squalida,1049146,551
2004,Panulirus interruptus,1487805,1046
2004,Paralabrax nebulifer,3246609,1264
2004,Prionace glauca,268019,158
2004,Scomberomorus sierra,464500,205822
2004,Scomberomorus sierra2,785562,3326309
2004,Sphyrna lewini,25930,111
2004,Squatina californica,777275,1039
2005,Callinectes bellicosus,8782170,2999
2005,Carcharhinus falciformis,41238,40
2005,Carcharhinus leucas,64387,277
2005,Centropomus robalito,357483,2625
2005,Gerreidae,81758,6147
2005,Gerreidae2,664419,599
2005,Hoplopagrus guntheri,58641,413
2005,Lutjanus guttatus,78984,389
2005,Megapitaria squalida,833080,528
2005,Panulirus interruptus,1537049,1040
2005,Paralabrax nebulifer,2553608,943
2005,Prionace glauca,808696,1690
2005,Scomberomorus sierra,436962,273878
2005,Scomberomorus sierra2,1240560,4701260
2005,Sphyrna lewini,37607,193
2005,Squatina californica,721352,4999
2006,Callinectes bellicosus,12642423,6406
2006,Carcharhinus falciformis,9738,44
2006,Carcharhinus leucas,107913,1117
2006,Centropomus robalito,325886,5858
2006,Gerreidae,61692,7897
2006,Gerreidae2,619320,1885
2006,Hoplopagrus guntheri,52907,866
2006,Lutjanus guttatus,43786,739
2006,Megapitaria squalida,1049475,1289
2006,Panulirus interruptus,1684967,3226
2006,Paralabrax nebulifer,1950364,1603
2006,Prionace glauca,684234,1798
2006,Scomberomorus sierra,464450,373394
2006,Scomberomorus sierra2,1217705,4183398
2006,Sphyrna lewini,19841,298
2006,Squatina californica,577816,4540
2007,Callinectes bellicosus,11682723,9432
2007,Carcharhinus falciformis,6635,19
2007,Carcharhinus leucas,90327,922
2007,Centropomus robalito,360464,7594
2007,Gerreidae,95063,7433
2007,Gerreidae2,693992,3356
2007,Hoplopagrus guntheri,80358,1418
2007,Lutjanus guttatus,52638,1012
2007,Megapitaria squalida,1153969,2947
2007,Panulirus interruptus,1363971,3882
2007,Paralabrax nebulifer,2922660,3777
2007,Prionace glauca,1620851,3372
