variable,year,mean,sd,lower,upper
b_t,1990,149538.996830172,164601.614050149,29289.6956737986,432343.631093355
b_t,1991,119917.567741546,137737.38690025,20950.6249586075,341382.924163097
b_t,1992,122673.176758887,143867.156703077,20833.9361202643,363695.131950268
b_t,1993,129391.732088827,151461.636794069,21999.65620724,387875.825306076
b_t,1994,105475.51385314,119258.564743558,18082.813673175,308565.274343657
b_t,1995,105367.232174737,121419.298906408,17903.958205045,303477.291053037
b_t,1996,98646.6333872883,114348.632523303,16964.6273082288,293200.583618499
b_t,1997,99949.8252690772,120212.508995591,16938.7843432519,295614.455358995
b_t,1998,112819.599771119,135065.247775296,18912.4937367175,326927.036784646
b_t,1999,110222.963028132,126586.954487751,18977.384417016,324296.46985519
b_t,2000,135881.751631403,159543.121172098,23031.794122864,396332.960058679
b_t,2001,143126.716394214,157537.089943963,23855.1188992811,427358.394064161
b_t,2002,128699.965717674,149928.714282259,21479.0038609281,377441.901998698
b_t,2003,122398.495090692,140926.26883302,20037.6454839116,362782.005078327
b_t,2004,120636.120253939,134021.32181719,20685.7802146388,351501.578499531
b_t,2005,200509.031358578,228907.51807925,34448.7586849064,588691.750869676
b_t,2006,229897.670775696,261956.395792101,40258.4205913092,668624.737294004
b_t,2007,206651.117727825,234875.741627188,35876.3659155891,600819.382489608
b_t,2008,186838.085385917,213113.912139333,33117.1232326911,542093.021159261
b_t,2009,205385.52472597,239914.203436905,34445.7235299198,619380.953141905
b_t,2010,167831.561558916,194046.199187753,28894.8624885451,490346.95411039
b_t,2011,138666.566210991,161828.412573039,24116.7039403552,401608.095532529
b_t,2012,178908.870908343,206518.991358545,31499.0254610748,528009.925380634
b_t,2013,238974.625677442,267494.788476024,41863.3201766198,697220.886139958
b_t,2014,227111.879106825,258620.625112203,40914.335022833,667640.287136357
b_t,2015,257691.27412979,284359.972504982,43241.8112027307,740118.063944021
b_t,2016,181708.016831181,224091.376256317,25970.9079231214,528422.313428163
b_t,2017,164942.304347439,208964.869452799,19822.4753437522,493194.907788398
b_t,2018,156198.600261245,194759.301806231,17641.7539375162,476195.250998921
b_t,2019,153331.216474389,200482.919413552,14989.9454146527,474383.462808752
b_t,2020,149677.954164724,205425.947582608,13518.2229012928,446564.408814625
b_t,2021,150499.522682054,188057.183195573,12278.0323266058,473358.120017665
bmsy,1990,90305.8120225908,98382.5645103115,17828.407075601,264474.888684289
ck,1990,0.0128683900511573,0.0100439123200372,0.00222516849784043,0.033009129743513
ck,1991,0.0133494513614809,0.0104193856777956,0.00230835236691858,0.034243115902149
ck,1992,0.0132291860339,0.010325517338356,0.00228755639964904,0.03393461936249
ck,1993,0.0125185272800128,0.00977084078712202,0.00216467113851087,0.032111685264505
ck,1994,0.0129667889555417,0.0101207136886696,0.00224218338015187,0.033261536003234
ck,1995,0.0145193050024952,0.0113324686159808,0.0025106404121768,0.037243945878832
ck,1996,0.0132073196107035,0.0103084503675488,0.00228377531469094,0.033878529082552
ck,1997,0.0153064962375703,0.01194687956504,0.00264675947066831,0.0392631959566
ck,1998,0.0204341724771563,0.0159490842193284,0.0035334238933422,0.052416366602061
ck,1999,0.0186301925634426,0.0145410591277344,0.00322148438429915,0.047788918507176
ck,2000,0.0169355447657117,0.0132183688901764,0.00292845030004658,0.043441921811981
ck,2001,0.0214728275789914,0.0167597653326704,0.00371302542885183,0.055080654899116
ck,2002,0.0236266702638495,0.0184408619571796,0.00408546229722444,0.060605547473009
ck,2003,0.0119937331232961,0.00936123348774922,0.00207392509951653,0.030765518545993
ck,2004,0.0140710433269664,0.0109825957144332,0.0024331281705358,0.036094095140103
ck,2005,0.0431643193899481,0.0336902003734129,0.00746386170728464,0.110722212597612
ck,2006,0.0456352252111559,0.0356187680746265,0.00789112430754967,0.117060414230606
ck,2007,0.0419507329025408,0.0327429834936133,0.00725401149211022,0.107609202061053
ck,2008,0.0299023337212533,0.0233390825788461,0.00517063368019845,0.076703457815215
ck,2009,0.0308316567071058,0.0240644288381521,0.0053313297909176,0.07908729471258
ck,2010,0.029268207448554,0.0228441404254373,0.00506098221641362,0.075076839697013
ck,2011,0.0211338980194452,0.0164952272851588,0.00365441861200132,0.054211255560077
ck,2012,0.0335540263950736,0.0261892667036485,0.00580207486820075,0.086070534564861
ck,2013,0.0406824803571421,0.0317530991867957,0.00703470856454056,0.104355965824649
ck,2014,0.051429827358236,0.0401415153385345,0.00889311182144553,0.131924338414176
ck,2015,0.0590502758422264,0.0460893546648437,0.0102108199293425,0.151471800972569
ck,2016,0.0707488122523694,0.0552201840466957,0.0122337003819247,0.181480100739399
ck,2017,0.0651400747024597,0.0508425060346489,0.0112638520901727,0.167092943935302
ck,2018,0.0772431399417384,0.0602890743764342,0.0133566826144797,0.198138913880985
ck,2019,0.0566668357138047,0.0442290548468589,0.0097986816689099,0.145357960459327
ck,2020,0.0538076915487426,0.0419974630789635,0.00930428590521385,0.138023875906034
ck,2021,0.0624864749154449,0.0487713437923412,0.0108049985250828,0.160286108013426
crashed,1990,0,0,0,0
delta,1990,100,0,100,100
dep_t,1990,0.824708698804766,0.0777932616825344,0.704437707070869,0.951592941824323
dep_t,1991,0.656381887525112,0.141048755869041,0.457586376156234,0.886544400589304
dep_t,1992,0.666757831002703,0.159949420947388,0.445730732600359,0.942306970687981
dep_t,1993,0.703358947277348,0.186959434412893,0.461947379740808,1.01832151135959
dep_t,1994,0.578621815265346,0.14167886097327,0.382633679150925,0.833826219846515
dep_t,1995,0.5723276286367,0.135788909046562,0.386767533458791,0.81042875513369
dep_t,1996,0.536035655566612,0.133159133714177,0.356090880380323,0.758109521846117
dep_t,1997,0.541117340730291,0.131577845038204,0.360735170662966,0.755097924164608
dep_t,1998,0.615497754858327,0.151730812301566,0.409728935464228,0.880151777869642
dep_t,1999,0.605134506844124,0.147485549306127,0.403443568544424,0.854499136545492
dep_t,2000,0.737912864510436,0.177030280883289,0.486396428701279,1.03358997092773
dep_t,2001,0.784309363232963,0.186427724448444,0.530107613786702,1.105606696578
dep_t,2002,0.696185729349982,0.164084266176574,0.461356835408227,0.975831998845366
dep_t,2003,0.664765776821828,0.153814617584749,0.44555407048523,0.925687961265718
dep_t,2004,0.663956205494534,0.143533798883066,0.459325835116412,0.909789963796864
dep_t,2005,1.09122986054432,0.2328926536477,0.754017326450907,1.49537457272732
dep_t,2006,1.25145527881178,0.258831649861482,0.864627920621959,1.70387813745685
dep_t,2007,1.12745838637247,0.241225701172752,0.769985027038224,1.53482490997146
dep_t,2008,1.02011128267486,0.216955979982244,0.697523260125909,1.379445095854
dep_t,2009,1.10674785464375,0.246801841180614,0.74768076136184,1.53262129820181
dep_t,2010,0.909164120008182,0.202967533276093,0.628214710558861,1.24838378779656
dep_t,2011,0.754538565730817,0.158906219266941,0.524239322245014,1.01573421651674
dep_t,2012,0.971046942875436,0.198742871168825,0.680486166258852,1.30973567083858
dep_t,2013,1.30106872536999,0.251430413471582,0.924481593583971,1.71201481525303
dep_t,2014,1.23926780924706,0.233461280023994,0.899514365621819,1.63382601694065
dep_t,2015,1.40509597392353,0.314285061373845,0.949186470685347,1.90292924809557
dep_t,2016,0.977568997390467,0.322236884982082,0.532970198814921,1.51758898789186
dep_t,2017,0.864963825501977,0.306924290284773,0.429459713260365,1.40993524588891
dep_t,2018,0.814117819521232,0.302974649724453,0.384686308439102,1.31272028463521
dep_t,2019,0.777624489999687,0.323537342050257,0.323567334920906,1.31113146469569
dep_t,2020,0.758249940134064,0.308676588800763,0.28826445490326,1.26234089771943
dep_t,2021,0.763864451769748,0.332518726689821,0.278343897574982,1.31241738178201
growth_t,1990,0.0799103412599553,0.0333487265488453,0.0261599888188951,0.130033009232391
growth_t,1991,0.118621879750655,0.0426390116673818,0.056012813595187,0.174024954753139
growth_t,1992,0.11329301427878,0.0518612035827212,0.0266184300635977,0.172024312424412
growth_t,1993,0.0994724302171526,0.08518617806375,-0.0105129245347367,0.16820706987297
growth_t,1994,0.129315421214055,0.0353466642290667,0.0737001867777293,0.17852644686194
growth_t,1995,0.130684775446366,0.0349869613812407,0.0819206187713857,0.178447101653471
growth_t,1996,0.133510993966287,0.0340258002043604,0.0933661957510437,0.181533934363537
growth_t,1997,0.13354654884049,0.0360644857137778,0.0899738869934149,0.180929061945698
growth_t,1998,0.123533188313905,0.0423548654710479,0.0572167961520834,0.175886672724917
growth_t,1999,0.125437207389799,0.0424116640025861,0.0667000690824514,0.176668554824928
growth_t,2000,0.09314511275406,0.0724689651569702,-0.0204905598245941,0.164739491685814
growth_t,2001,0.0774694984478039,0.086105321819156,-0.0666867127164873,0.160417252679269
growth_t,2002,0.107137833459944,0.0572471448727336,0.0130876721627897,0.171851603861696
growth_t,2003,0.115092279040809,0.0529427491808956,0.0353964743453546,0.176494500809209
growth_t,2004,0.117331522087112,0.0438716267364616,0.0457878325103148,0.175525902012562
growth_t,2005,-0.0850915506271532,0.177345818903913,-0.409316117097219,0.112444053479068
growth_t,2006,-0.212850421241437,0.237550264939815,-0.650065839215374,0.068923351133799
growth_t,2007,-0.11112198684188,0.189969090411184,-0.470191998318599,0.106485594994016
growth_t,2008,-0.0355110800599698,0.145854863830454,-0.294303259000326,0.131792778105694
growth_t,2009,-0.101775087054152,0.196968034333307,-0.466338206359382,0.112062670884843
growth_t,2010,0.025298352759416,0.125749395272281,-0.16877519549781,0.14644225617595
growth_t,2011,0.0933455660875459,0.0637999555899429,-0.010115490268281,0.167866219066544
growth_t,2012,-0.00489465601661806,0.124916771325128,-0.242456004550127,0.130752623400847
growth_t,2013,-0.254167624367419,0.233495567352459,-0.673277657029757,0.0419649380774945
growth_t,2014,-0.192688974419325,0.20267804757929,-0.566647767323451,0.0555120535269955
growth_t,2015,-0.380860082078363,0.410244317173896,-1.00927948375424,0.0269297913519385
growth_t,2016,-0.0390090571474603,0.234909523952346,-0.412742238976885,0.157710578634699
growth_t,2017,0.0155931973168557,0.188349178362073,-0.31109141684738,0.162109051286111
growth_t,2018,0.0377491070197571,0.156264911337514,-0.233458542155583,0.166106931469075
growth_t,2019,0.0407205550163137,0.19879434708889,-0.230193999536598,0.163467707553148
growth_t,2020,0.0503931440671667,0.150906845127011,-0.183832638966497,0.163420849188867
growth_t,2021,0.0406432142776901,0.166148578410178,-0.235859994416635,0.163497582525404
index_hat_t,1990,149538.996830172,164601.614050149,29289.6956737986,432343.631093355
index_hat_t,1991,119917.567741546,137737.38690025,20950.6249586075,341382.924163097
index_hat_t,1992,122673.176758887,143867.156703077,20833.9361202643,363695.131950268
