variable,year,mean,sd,lower,upper
b_t,2000,151875525.651471,94826375.50494,73288371.8183729,281852262.174411
b_t,2001,176785576.402786,102887172.08185,83198317.0293849,324587234.085434
b_t,2002,135544226.548575,84021310.9420342,60073048.4711181,268011708.917525
b_t,2003,114591382.036924,80134664.3422434,43127805.9327049,216786423.12853
b_t,2004,106927468.442629,68205447.1795532,45768297.0940973,205431146.887997
b_t,2005,101398171.455009,68234550.5491318,44608019.8802182,181343448.220508
b_t,2006,74767261.2453234,54449540.2395311,37793934.6962091,136125203.909943
b_t,2007,55874600.1928856,30523805.6667544,28661103.6880885,101975495.024408
b_t,2008,47463027.6632382,27413415.4454772,27383026.9314067,84698453.2479657
b_t,2009,31225758.2037823,17883443.5262292,17229114.0422052,55922601.0207805
b_t,2010,22949650.4792203,12115141.0404402,13406700.3587578,39518366.895009
b_t,2011,29048589.9609432,13347570.6506708,17748196.5662853,48390962.2036941
b_t,2012,29745241.7275044,13181853.0775446,18216520.0726886,48167233.3921128
b_t,2013,29414383.108118,15032527.8134999,19205713.5139086,47912603.3338101
b_t,2014,28552565.8549316,12997045.6061725,16207618.3490809,47909715.6469927
b_t,2015,28905933.5096415,12890272.6662379,18848017.4781772,46929395.9410234
b_t,2016,30257426.4626869,10328004.1517091,20195493.4485201,47244696.7759766
b_t,2017,33577028.7759482,11416540.5135652,23467256.7226724,52096167.3796955
b_t,2018,35515044.8969349,13032177.0314528,22526049.2918278,54261292.1276707
b_t,2019,35235836.1266861,14413146.8703814,24264348.0036293,54182068.0055309
b_t,2020,34325320.5917884,15207443.2362067,22209533.7755275,53603214.1556957
b_t,2021,33097067.1106292,17491926.6105491,18317856.1042355,56972681.5421497
bmsy,2000,82272270.6425738,53163822.6986604,40154628.4623656,152830509.526541
ck,2000,0.0711908604730471,0.0274806164065801,0.0313249840630761,0.11922436675042
ck,2001,0.0638471342270262,0.0246458406696266,0.0280936407966565,0.106925721875889
ck,2002,0.049021037251303,0.0189227705860608,0.02156994873287,0.0820962421987873
ck,2003,0.0339765977053121,0.0131154173743113,0.0149501828544326,0.0569011010519146
ck,2004,0.0453544494144604,0.0175074190480154,0.0199565983000789,0.075955754359792
ck,2005,0.0652973360460646,0.0252056378070163,0.0287317500787717,0.1093543958993
ck,2006,0.0939991531782573,0.0362849199162727,0.0413609549833487,0.157421745407845
ck,2007,0.0868635758205646,0.0335304924110669,0.0382212001675575,0.145471690496068
ck,2008,0.120538616011577,0.0465295045850487,0.0530386934566896,0.201867768804301
ck,2009,0.070275919896043,0.0271274372082337,0.0309223972871491,0.117692102493706
ck,2010,0.0503547812729532,0.0194376134689813,0.0221568149393577,0.08432988265954
ck,2011,0.0765056350761832,0.0295321898976958,0.0336635599509896,0.128125096876024
ck,2012,0.0871296153052323,0.033633187180853,0.0383382612981856,0.145917230680291
ck,2013,0.0895480756394139,0.0345667449479113,0.0394024180020381,0.149967461284864
ck,2014,0.0965565554047836,0.0372721110966786,0.0424862480821608,0.161704664015061
ck,2015,0.0974896676511242,0.0376323048004151,0.0428968306492411,0.163267360630017
ck,2016,0.104590812520807,0.040373440908542,0.046021434684005,0.175159750954634
