variable,year,mean,sd,lower,upper
b_t,1990,88532.7108021919,95535.9021260857,18462.0199262011,241723.34622885
b_t,1991,68897.5567397497,84482.4270749526,12285.1036985133,192773.33257932
b_t,1992,67115.3686683998,83650.8277992796,12022.7221272862,184712.066436678
b_t,1993,91060.8172677749,118949.520296323,15094.1671107258,258585.192432027
b_t,1994,80033.4591159775,94529.8041242083,13992.5934303122,243062.811523532
b_t,1995,60112.3865076719,69995.0618072919,10661.9705282006,177021.746339707
b_t,1996,54193.9026583781,62841.9239577711,9749.7574732975,153313.483994976
b_t,1997,54325.621318725,62011.4071952874,9736.97176725324,151987.711107605
b_t,1998,58647.3403616928,69374.4168482883,10619.3293375111,169675.594564218
b_t,1999,66183.0607345735,77883.0370222041,11747.5559779753,187608.660681876
b_t,2000,77029.796204424,88911.7015238889,14237.8980893771,213505.071691782
b_t,2001,75531.8815880235,86227.4932894272,13650.1417483217,216309.192982946
b_t,2002,67902.7319770574,78844.9670460246,12330.8490978629,197515.344777787
b_t,2003,110051.172312748,126447.79593532,19566.655189713,321813.212362017
b_t,2004,94662.4435095523,110273.813664137,17395.1130662811,275156.444540454
b_t,2005,105151.58116222,130518.721676924,18991.927303099,294613.823755396
b_t,2006,113781.901833498,139625.746544033,20007.5513409755,339073.732548905
b_t,2007,111810.963145243,135571.414031712,19281.1575926525,307830.856093798
b_t,2008,115700.832807452,135030.208545759,20423.3362041259,339655.515204422
b_t,2009,120924.491396019,144639.742358993,21591.9596480204,351369.026708717
b_t,2010,110852.169706688,130718.459302586,19188.180047742,343486.696345872
b_t,2011,84033.4708356671,95579.7095087954,15801.1196225933,241309.655063957
b_t,2012,107909.981748296,131146.343128741,20216.0092325017,306538.970723056
b_t,2013,150617.528917725,175650.656733154,28247.0656245926,451928.405701989
b_t,2014,150126.337062684,174296.524700583,28219.6247993926,441853.966814654
b_t,2015,165491.161093274,187503.556446878,29408.6516924075,475346.152449043
b_t,2016,103870.217447516,136820.392070898,13846.3360620505,305059.237890131
b_t,2017,94310.9559158621,121638.202757148,9189.22140064203,292666.556434219
b_t,2018,90523.6864037089,131351.392433705,7604.15145794142,282328.451275738
b_t,2019,88078.8505596477,123799.330555269,4623.9200320653,292736.266984039
b_t,2020,84639.859794316,110295.312387053,2497.53752121191,273480.590141927
b_t,2021,83069.5138548526,114217.705729909,549.3429851697,269157.220670067
bmsy,1990,54019.5583567262,58006.6134620674,11646.073755458,152271.878506755
ck,1990,0.00796460335123275,0.00619530072097553,0.00147762017653652,0.0193198173981464
ck,1991,0.0106725684906519,0.00830170296610722,0.00198001103655894,0.0258885553135162
ck,1992,0.00851327602653989,0.00662208810397607,0.00157941178869793,0.0206507381522409
ck,1993,0.0133982327486293,0.0104218725461744,0.00248568549697366,0.0325002261564374
ck,1994,0.0181592956408107,0.0141252856438242,0.00336897400250327,0.0440491836677738
ck,1995,0.00996460374832008,0.00775100956868717,0.00184866702086681,0.0241712382114587
ck,1996,0.0103893825937192,0.0080814256071392,0.00192747343028209,0.0252016284726932
ck,1997,0.0121061970938738,0.00941685709588281,0.00224598266833552,0.0293661224451825
ck,1998,0.0133097371558378,0.0103530358714969,0.00246926749501215,0.0322855615186802
ck,1999,0.0176283220840618,0.0137122655957592,0.00327046599073417,0.0427611958412307
ck,2000,0.0143185869136607,0.0111377739628205,0.00265643271737344,0.0347327383891121
ck,2001,0.0152566401972503,0.011867442714402,0.00283046353816552,0.0370081835493382
ck,2002,0.0121415953309904,0.00944439176575381,0.00225254986912012,0.0294519883002854
ck,2003,0.0239115091722565,0.0185996694978621,0.00443614413000188,0.0580023851219907
ck,2004,0.0206902695946468,0.0160940145396009,0.00383852885860266,0.0501885923076292
ck,2005,0.0249380580486376,0.0193981749241212,0.00462659295275547,0.060492494919974
ck,2006,0.0267433681415837,0.0208024430875423,0.00496152019277042,0.0648716535302205
ck,2007,0.0298938112449602,0.0232530287060615,0.00554600106260042,0.0725137146343762
ck,2008,0.0281062002705725,0.0218625278775759,0.00521435742297778,0.0681774889516811
ck,2009,0.02615929722916,0.0203481210346708,0.00485316137982441,0.0634548669210231
ck,2010,0.0287256694201128,0.0223443846003184,0.0053292834367084,0.0696801414159814
ck,2011,0.0188495612645842,0.0146622117063088,0.00349703441780311,0.0457235678422798
ck,2012,0.0292920412139782,0.0227849393182545,0.0054343586492621,0.0710539950976273
ck,2013,0.0409911585810112,0.0318851477106208,0.00760481850857464,0.0994326602091268
ck,2014,0.0606371801807187,0.0471668894890271,0.0112496149440314,0.147088209791221
ck,2015,0.0585840824279564,0.0455698786365089,0.0108687172985242,0.142107990195255
ck,2016,0.0765132895275093,0.0595161889261716,0.0141950044959275,0.18559904580486
ck,2017,0.0694867394598662,0.0540505569567777,0.0128914151401831,0.16855467356694
ck,2018,0.0856637338221478,0.0666339010878258,0.0158926258987484,0.207795369348953
ck,2019,0.0620177114282657,0.0482407416139962,0.0115057357746311,0.150436978140233
ck,2020,0.0550019578229431,0.0427835077189129,0.0102041494151259,0.133418794988119
ck,2021,0.0607000120516006,0.0472157635280481,0.0112612717254241,0.147240621684029
crashed,1990,0,0,0,0
delta,1990,100,0,100,100
dep_t,1990,0.81930057656105,0.0781557616327313,0.701329303545534,0.951123291845627
dep_t,1991,0.625443375471686,0.158243447235864,0.409888319141048,0.909899668631928
dep_t,1992,0.608452305141416,0.159990976476793,0.387275262062892,0.888658523480269
dep_t,1993,0.814457675418714,0.23745228618286,0.497272378771852,1.24779864149347
dep_t,1994,0.727792966227657,0.2161755048486,0.43621341599923,1.08718154453451
dep_t,1995,0.5461421094514,0.148296288681881,0.336441500494146,0.798712616535084
dep_t,1996,0.49335740204727,0.133457651221201,0.311498653920691,0.733920157028646
dep_t,1997,0.494350352647486,0.131579905718391,0.307952553130829,0.722480466389894
dep_t,1998,0.535856640966031,0.152609849979765,0.329634716629224,0.807194623058389
dep_t,1999,0.603775776979345,0.170555577659057,0.372523282490768,0.89137307738106
dep_t,2000,0.709748330337114,0.19882466369257,0.43904619926826,1.05578885704119
dep_t,2001,0.69130708124011,0.193396982970887,0.428727870339271,1.0103692869738
dep_t,2002,0.61991280891519,0.158982727456752,0.395842859095518,0.904109133004322
dep_t,2003,1.00687805435649,0.278362690169408,0.613932758438692,1.4966709097949
dep_t,2004,0.86438492725942,0.220180053792881,0.551057886191019,1.24652113212497
dep_t,2005,0.951621524725261,0.246569036031123,0.610497948389236,1.39358258727526
dep_t,2006,1.02255202417854,0.268591921426411,0.633993951236172,1.4961144358219
dep_t,2007,1.01141962619913,0.250532204173576,0.662382021639392,1.43985960701163
dep_t,2008,1.04418339301955,0.264044765130832,0.672683662422322,1.51703268821812
dep_t,2009,1.09685865785908,0.280161370637396,0.690098969919977,1.5780977186555
dep_t,2010,1.00093265162192,0.276180229039503,0.617878692719387,1.47963691667326
dep_t,2011,0.775252613985674,0.194590398311491,0.500163529565879,1.11256700823748
dep_t,2012,0.984018850154689,0.229293807172835,0.663253750310735,1.38748944741858
dep_t,2013,1.36608209350625,0.282020309052041,0.949672875735811,1.86075675666442
dep_t,2014,1.36505564196757,0.271308529934642,0.964196628742013,1.81784793148504
dep_t,2015,1.5017809669771,0.398824052983304,0.935358596532327,2.19494608802186
dep_t,2016,0.927784314188505,0.380871953457936,0.407443923158009,1.56632173885347
dep_t,2017,0.814408875757744,0.36054756523587,0.328287494832779,1.41331712369371
dep_t,2018,0.766824249788741,0.369817391699872,0.265962275835172,1.4314168585619
dep_t,2019,0.723695187000411,0.390411241932079,0.174204163622117,1.38342718549452
dep_t,2020,0.699209297024596,0.389372649867472,0.107019766544066,1.36689738602763
dep_t,2021,0.678922700336797,0.388305661113859,0.0269051445553105,1.28922390482852
growth_t,1990,0.0833900081497049,0.0344221420126448,0.026108496638556,0.136946821170503
growth_t,1991,0.123375278276178,0.0489464886663628,0.0428272288710684,0.183104287653449
growth_t,1992,0.125414533500546,0.0491313121050061,0.0556703305014039,0.182597490856061
growth_t,1993,0.0564301941973554,0.127714528482101,-0.179506317604441,0.164504961362225
growth_t,1994,0.0893037541585384,0.112727092726885,-0.0577552835710566,0.175938232601201
growth_t,1995,0.132831993443195,0.0395003297765377,0.0820640803086101,0.184873792315885
growth_t,1996,0.136644248698459,0.0309123010889801,0.0935019611467379,0.185702230340529
growth_t,1997,0.13690819528124,0.0299493671405657,0.0944276501184661,0.184833740829848
growth_t,1998,0.132387934618302,0.0412848921910968,0.082175005591956,0.184007293175261
growth_t,1999,0.123798036693323,0.0516557284734833,0.0494438795087266,0.181464983935919
growth_t,2000,0.0978784950749638,0.0846437363988236,-0.0309355840197459,0.173831880403147
growth_t,2001,0.103416956540367,0.088907039114228,-0.0052324981472148,0.176450087101124
growth_t,2002,0.124144600672344,0.0452073569842308,0.0479477896144544,0.182262924239976
growth_t,2003,-0.0503282769495895,0.209190376960877,-0.452796084946451,0.146606169425825
growth_t,2004,0.0428042321526018,0.119591547240296,-0.171194686768946,0.163175946341474
growth_t,2005,-0.00591355697832148,0.165665347349713,-0.304723063001991,0.150839177000664
growth_t,2006,-0.0530696605545051,0.194832478433078,-0.429169682630382,0.141989390211177
growth_t,2007,-0.0408523107550825,0.181820723739403,-0.361136632240234,0.137227725215034
growth_t,2008,-0.064387647854208,0.196685688064848,-0.436254566101706,0.133400963788083
growth_t,2009,-0.102028842718716,0.221144938029374,-0.505940186278014,0.130362849728599
growth_t,2010,-0.0444069062177622,0.215894845447148,-0.444635982885656,0.145444404471553
growth_t,2011,0.0819019497877603,0.0866165310623156,-0.0699145066376436,0.171085348283231
growth_t,2012,-0.0169708653418474,0.149185444027487,-0.290358879048149,0.140845757400967
growth_t,2013,-0.323517202735873,0.280030508800756,-0.845488793739502,0.0275781514207728
growth_t,2014,-0.317946924887269,0.265233129907983,-0.817726871921931,0.0236118935883108
growth_t,2015,-0.522060600544774,0.568340806039268,-1.47224745442845,0.0336097978928951
growth_t,2016,-0.0393832059186721,0.302489166721155,-0.484931459154226,0.164639919952214
growth_t,2017,0.0168992086619226,0.219538303235138,-0.322364761348246,0.169259180569538
growth_t,2018,0.0256892729175534,0.214614057985657,-0.36283141644741,0.169761297683363
growth_t,2019,0.0279653821287516,0.268387490163138,-0.310396171542998,0.169279079094789
growth_t,2020,0.0328952172612786,0.217497375297761,-0.286061013880229,0.167672121822137
growth_t,2021,0.0388997331164122,0.282565487908527,-0.201060790525268,0.167593416539293
index_hat_t,1990,88532.7108021919,95535.9021260857,18462.0199262011,241723.34622885
index_hat_t,1991,68897.5567397497,84482.4270749526,12285.1036985133,192773.33257932
index_hat_t,1992,67115.3686683998,83650.8277992796,12022.7221272862,184712.066436678
index_hat_t,1993,91060.8172677749,118949.520296323,15094.1671107258,258585.192432027
