variable,year,mean,sd,lower,upper
b_t,1990,79634.3341720754,138667.326313664,12356.8631924228,253564.092804836
b_t,1991,81622.9891125351,143279.770736204,10522.4542803287,269154.996741866
b_t,1992,94118.8966994205,165198.841233535,12134.3970381754,313961.237532491
b_t,1993,116779.227445544,206758.52849091,15008.2804989078,377384.970039281
b_t,1994,87156.3365520845,158456.854592803,11109.7711681184,291518.644766078
b_t,1995,80176.0377128958,136204.343466879,10035.3199760004,273701.759586585
b_t,1996,72781.5162722227,123314.902006086,9331.5188571507,250261.164439667
b_t,1997,69996.4927784326,119299.068986722,9082.43711672237,227826.857043867
b_t,1998,73746.7233777588,122884.115191971,9763.71480664227,248271.225808873
b_t,1999,81100.8637925733,145573.672306785,10663.7421664313,266021.094012686
b_t,2000,109453.154396638,188347.23904728,13712.3722202581,352551.702126322
b_t,2001,85579.8250106859,146317.909576427,10555.8493598462,288707.850169071
b_t,2002,71700.9541051197,129713.557454019,9420.60837131811,240691.164071842
b_t,2003,93672.1016352386,160107.340747966,12112.5714624757,306005.687766483
b_t,2004,114266.122301393,198408.895093252,14873.1805486283,382187.797051171
b_t,2005,74890.9898732174,138653.4024486,9128.09678828471,245073.733470169
b_t,2006,83297.4737367828,151997.635280605,10401.4538954872,274816.339875741
b_t,2007,85621.7686523738,149224.787876241,11048.1480063682,283655.386992856
b_t,2008,87066.9970261056,152487.249916782,10981.0747560736,289386.142188141
b_t,2009,90261.1099837305,167365.510120205,10982.9672824477,281609.706607941
b_t,2010,76139.7172513725,137132.719857496,9404.63261777234,251844.624001151
b_t,2011,65913.0157375431,115158.463804685,8196.75765195668,219056.282390887
b_t,2012,68549.5235313557,123464.294538079,8609.24932903964,231064.876348633
b_t,2013,84147.8793287708,153847.083734645,9603.730171962,288463.197598823
b_t,2014,55882.4703661283,98176.1529653868,6992.13585015038,185102.655030763
b_t,2015,59847.5002488319,103287.539764398,7349.64537102936,207493.27257746
b_t,2016,73852.9874826905,132063.17915583,8186.84853731911,251995.128175371
b_t,2017,80578.2545448327,143127.995587798,8920.30309517845,284015.000947211
b_t,2018,82622.3363151501,164617.969822007,9472.78637411762,278476.48152774
b_t,2019,80184.773643714,137755.66554047,9819.14098656455,263109.355208013
b_t,2020,80838.7202447849,133433.842343772,9771.50427332594,276548.881724089
b_t,2021,81920.8808757462,141078.810927754,10350.0527381318,276832.265079716
bmsy,1990,45225.8214899891,75123.6603430387,7462.79241206304,144996.985857101
ck,1990,0.0525256386457663,0.0398683860371313,0.00658980796843567,0.128035220538068
ck,1991,0.0557689800168811,0.0423301702089688,0.00699671395497434,0.135941110660251
ck,1992,0.063300128624385,0.0480465165062864,0.00794156344914042,0.154298855520236
ck,1993,0.0787472290529149,0.0597712851891057,0.00987953941892632,0.191952332203854
ck,1994,0.0714909398836411,0.0542635646690625,0.00896917348294148,0.17426457803219
ck,1995,0.0589848354441729,0.0447710918030789,0.0074001715856949,0.143780001713603
ck,1996,0.0569233896574474,0.0432063984735211,0.00714154489933557,0.138755071551198
ck,1997,0.0597269559273941,0.0453343814017196,0.00749327719278425,0.145588976572068
ck,1998,0.0661586667819777,0.0502162245899398,0.00830019245422535,0.16126675867877
ck,1999,0.0778401929067557,0.0590828201241003,0.00976574367692821,0.189741362932396
ck,2000,0.0945516467511439,0.0717672673823818,0.0118623440143478,0.230476796782289
