variable,year,mean,sd,lower,upper
b_t,1955,394014.571835039,456094.480334693,71981.4788713272,1166488.72534914
b_t,1956,124160.581752068,154803.952641301,18516.0324574966,389647.677141851
b_t,1957,107239.767088785,128788.182994958,15913.593427349,326266.928000386
b_t,1958,122921.529276321,164544.295053645,18265.8649189493,360268.682621787
b_t,1959,129938.463841957,194842.193932938,18523.1499725845,379734.340759226
b_t,1960,217527.270447626,298143.075951906,32082.538355843,633507.265507291
b_t,1961,289423.904739995,380288.2317215,41268.099361089,856159.431935535
b_t,1962,315051.814774552,434956.126679149,42941.818377396,966909.249739839
b_t,1963,331873.692856139,444963.055981202,49321.8597408594,978880.729696845
b_t,1964,383414.721334941,503613.679696838,57244.0406766837,1165756.00926007
b_t,1965,596881.006503556,730892.781576865,92476.4957292551,1852327.92815023
b_t,1966,713147.621912406,937712.940188799,106148.110990257,2185109.10135862
b_t,1967,714464.029326174,867555.186032519,111167.801938434,2162094.25256083
b_t,1968,674985.018202711,862819.735674155,97316.0036610525,2053181.23523493
b_t,1969,637579.217787212,828941.254319391,99675.2940813267,1839946.84245919
b_t,1970,855088.984108957,1104573.21050463,127441.587287363,2717539.06941336
b_t,1971,305287.984224155,401459.822858558,44042.8322394151,936453.751535331
b_t,1972,402149.424309745,515484.641513431,58830.8656755685,1222483.43215793
b_t,1973,522511.707474066,782660.80713362,70732.8477202435,1564125.76773178
b_t,1974,359012.650202588,468940.253818312,55152.100233269,1051613.06004669
b_t,1975,426981.742320191,579799.869688771,64902.190123855,1297123.24825397
b_t,1976,518372.123250704,702546.204857105,73341.7226917856,1531801.88929894
b_t,1977,379639.298710381,483534.05460597,57205.2253857039,1148508.80163677
b_t,1978,457549.033927309,561382.743031863,72208.3685164323,1384867.90711162
b_t,1979,673155.222687733,879099.645357923,97940.9336751311,2106473.72319866
b_t,1980,520736.84155584,659071.42615256,76468.9570026448,1576876.33666215
b_t,1981,576337.118544879,721161.321848408,82120.9742503698,1796736.50771325
