variable,year,mean,sd,lower,upper
b_t,2000,1311376.97418601,531385.243541201,817303.399899054,2258287.60001047
b_t,2001,1687908.94455788,676475.268453665,1026353.80072141,2858888.2247207
b_t,2002,1510861.96351518,687130.537352606,876918.411611229,2737451.50835162
b_t,2003,1454509.85753647,641754.582722472,821747.232552896,2523332.91637297
b_t,2004,1234890.04782906,523913.387625131,694711.842135985,2117914.25325408
b_t,2005,1023840.05476255,451743.596158821,556794.213680118,1779638.52042436
b_t,2006,654655.239584452,268947.639639812,382931.619664823,1135344.43816678
b_t,2007,543180.633842422,199821.563519927,349539.815246245,876971.072990356
b_t,2008,414842.411976927,172116.95223436,268250.134573506,699087.281702029
b_t,2009,402131.78328032,153657.96720194,254597.132033565,671910.072793394
b_t,2010,364641.286345131,134651.399353519,239664.584964297,600082.731428493
b_t,2011,330634.666648157,120203.531243557,221140.34711809,522416.948717159
b_t,2012,327167.484668562,120281.976818978,214405.540492946,527586.239889438
b_t,2013,322229.161576678,110558.115313478,218108.522361452,514255.423451411
b_t,2014,358573.373132782,116494.376464076,250949.765401386,569855.352593986
b_t,2015,406811.180471597,142671.42248561,263724.428717616,632455.715747551
b_t,2016,452476.717429658,148203.018519012,308055.656979292,699347.139817941
b_t,2017,492702.139003043,152315.913379657,348965.263107214,761767.879516254
b_t,2018,477670.323682701,162437.669796088,323548.555892451,738091.80421631
b_t,2019,428141.997134824,155648.447285225,280132.190458646,690451.956219157
b_t,2020,395537.037684906,157289.132470852,253506.494745631,645234.602061626
b_t,2021,441056.255553225,192949.735710591,244998.33978014,753479.656768517
bmsy,2000,720083.506916924,281987.057346017,458287.792676163,1216712.67517271
ck,2000,0.0216321914512531,0.00600466846431064,0.011570523126681,0.0307186897792855
ck,2001,0.0367469130885773,0.0102002162231678,0.0196550131633054,0.0521822777899362
ck,2002,0.039509711797865,0.0109671144969873,0.0211327657262954,0.0561055768539478
ck,2003,0.0520782946914241,0.0144559045029419,0.0278553892463044,0.0739535327460963
ck,2004,0.0386399987447745,0.0107256993562855,0.0206675777670894,0.0548705450017618
ck,2005,0.0450537483624425,0.0125060293868319,0.0240981334945199,0.0639783594028654
ck,2006,0.0406483290634836,0.0112831721281888,0.0217417838849025,0.0577224648441773
ck,2007,0.0617388706009303,0.0171374892902072,0.0330225918956469,0.0876719872596896
ck,2008,0.0575439648854934,0.0159730664384124,0.0307788407849892,0.0817150315062126
ck,2009,0.069561678292245,0.0193089459709719,0.0372068178679394,0.0987807278241407
ck,2010,0.0737565840076819,0.0204733688227668,0.0394505689785971,0.104737683577618
ck,2011,0.0633699667243501,0.0175902493111524,0.0338950247908715,0.0899882174913072
ck,2012,0.066114326287636,0.0183520292427661,0.0353629147116168,0.0938853321344244
ck,2013,0.0771901066527896,0.0214264467943183,0.0412870751532362,0.109613440951663
ck,2014,0.0884502784779623,0.0245520477679273,0.047309862017302,0.125603393977846
ck,2015,0.103775513698808,0.0288060299336328,0.0555069505528861,0.147365920793708
ck,2016,0.123478509499611,0.034275191844673,0.0660455947347207,0.175345065536917
ck,2017,0.149856476153108,0.0415971936341735,0.0801545154091184,0.212802970643899
ck,2018,0.141106333077447,0.0391683269933143,0.0754742807206054,0.200377371911967
ck,2019,0.114174423746142,0.0316925616733844,0.0610690698354414,0.162132843160615
ck,2020,0.0931945170847065,0.0258689545646001,0.0498474376781649,0.132340427270469
ck,2021,0.0974662525751514,0.027054703842252,0.0521322831315086,0.138406484777673
crashed,2000,0,0,0,0
delta,2000,100,0,100,100
dep_t,2000,0.910254109004719,0.071765499722973,0.799716154553311,1.02235033578774
dep_t,2001,1.18703265937628,0.209873325411458,0.87176942020568,1.53122082043588
dep_t,2002,1.0462122672685,0.196086138223734,0.783856423080177,1.41022442417631
dep_t,2003,1.014590260963,0.206302588962464,0.7335027862649,1.35714542703465
dep_t,2004,0.867527649408033,0.189111815350939,0.585764069829107,1.21803685410503
dep_t,2005,0.715602639184622,0.160928466590259,0.510576070760821,0.999163251413412
dep_t,2006,0.461899241074402,0.101627142810351,0.326836128552125,0.630989297231215
dep_t,2007,0.388114367219413,0.0809599110042687,0.262449843292702,0.522331590427903
dep_t,2008,0.293570068455758,0.0638003570240004,0.206789483345058,0.404957713797775
dep_t,2009,0.286532087143966,0.0611828340702511,0.195830939203441,0.383221790062978
dep_t,2010,0.261274671635558,0.0579529655358514,0.164441006383029,0.354207872467587
dep_t,2011,0.236518246507845,0.0480315611954587,0.164704984182937,0.314200273745771
dep_t,2012,0.233914120004062,0.0514756271110574,0.162272027191754,0.319994149487091
dep_t,2013,0.231248828203219,0.0473420917059769,0.160832366731753,0.310438463247109
dep_t,2014,0.258348597818974,0.0519805222565424,0.183316893166075,0.340443099802798
dep_t,2015,0.291494973350082,0.0615209306091506,0.202359210056172,0.392037318976928
dep_t,2016,0.326421413026735,0.0701512324060072,0.230803459776698,0.443124548515686
dep_t,2017,0.357136939343428,0.0763027445578461,0.242080427459281,0.478417083068479
dep_t,2018,0.343922825917283,0.0722491995412326,0.232490907698578,0.458737802060901
dep_t,2019,0.30550589022286,0.0617135772949202,0.219184978340969,0.412179278558602
dep_t,2020,0.281112679062056,0.0597456580514922,0.194244783595965,0.38197258874755
dep_t,2021,0.310687500512742,0.0747930242331296,0.205565448656531,0.432131311529046
growth_t,2000,0.0431680156697367,0.0339045378462959,-0.0125694012283167,0.0928599993328474
growth_t,2001,-0.151369923947202,0.179398261975829,-0.473123577475097,0.0585694004513073
growth_t,2002,-0.0460984113932598,0.141349805866622,-0.308336252134951,0.0948389604229779
growth_t,2003,-0.0321354462666648,0.136781622659311,-0.261487738302735,0.114602460957874
growth_t,2004,0.043689552185084,0.0966128084369288,-0.145788591415279,0.142856354371321
growth_t,2005,0.0998132152766234,0.0605171770716817,0.000505977444807215,0.157580194565627
growth_t,2006,0.134322051103123,0.0211351843789939,0.0997531671247872,0.166247753077746
growth_t,2007,0.130505073025109,0.0225240797509358,0.0928228783413195,0.163385357576587
growth_t,2008,0.11498683967256,0.0227090573727904,0.0786203685868143,0.152574891557799
growth_t,2009,0.113458516418262,0.0230665111744559,0.0734773622591238,0.149805405518691
growth_t,2010,0.107291279515785,0.0231207816625196,0.0712739482369762,0.141613611164822
growth_t,2011,0.100889935220796,0.0215307878169736,0.066052508598851,0.137821357299736
growth_t,2012,0.0999278512472491,0.0218337942382706,0.0646351168389338,0.13500691895554
growth_t,2013,0.0994908323053286,0.0220320100154043,0.06468642644438,0.133789275911414
growth_t,2014,0.107103366196535,0.0228448715048666,0.069545976318404,0.140237505149274
growth_t,2015,0.114653561817064,0.0226417206303924,0.0773317524193128,0.149992287626488
growth_t,2016,0.121698245029938,0.0234949121005727,0.081943110627287,0.158859482744263
growth_t,2017,0.126767309508442,0.024524169652433,0.0855689521426575,0.161845641284535
growth_t,2018,0.124740082802286,0.0235811954309093,0.0851503908599818,0.158851685810348
growth_t,2019,0.117917127402205,0.0228921521556679,0.0802437038381665,0.153210096757638
growth_t,2020,0.112343866610569,0.0230013196451262,0.0757564213869974,0.148750765341619
growth_t,2021,0.117887421754119,0.023608217579496,0.0798180775898754,0.155595918074324
index_hat_t,2000,1311376.97418601,531385.243541201,817303.399899054,2258287.60001047
index_hat_t,2001,1687908.94455788,676475.268453665,1026353.80072141,2858888.2247207
index_hat_t,2002,1510861.96351518,687130.537352606,876918.411611229,2737451.50835162
index_hat_t,2003,1454509.85753647,641754.582722472,821747.232552896,2523332.91637297
index_hat_t,2004,1234890.04782906,523913.387625131,694711.842135985,2117914.25325408
index_hat_t,2005,1023840.05476255,451743.596158821,556794.213680118,1779638.52042436
index_hat_t,2006,654655.239584452,268947.639639812,382931.619664823,1135344.43816678
index_hat_t,2007,543180.633842422,199821.563519927,349539.815246245,876971.072990356
index_hat_t,2008,414842.411976927,172116.95223436,268250.134573506,699087.281702029
index_hat_t,2009,402131.78328032,153657.96720194,254597.132033565,671910.072793394
index_hat_t,2010,364641.286345131,134651.399353519,239664.584964297,600082.731428493
index_hat_t,2011,330634.666648157,120203.531243557,221140.34711809,522416.948717159
index_hat_t,2012,327167.484668562,120281.976818978,214405.540492946,527586.239889438
index_hat_t,2013,322229.161576678,110558.115313478,218108.522361452,514255.423451411
index_hat_t,2014,358573.373132782,116494.376464076,250949.765401386,569855.352593986
index_hat_t,2015,406811.180471597,142671.42248561,263724.428717616,632455.715747551
index_hat_t,2016,452476.717429658,148203.018519012,308055.656979292,699347.139817941
index_hat_t,2017,492702.139003043,152315.913379657,348965.263107214,761767.879516254
index_hat_t,2018,477670.323682701,162437.669796088,323548.555892451,738091.80421631
index_hat_t,2019,428141.997134824,155648.447285225,280132.190458646,690451.956219157
index_hat_t,2020,395537.037684906,157289.132470852,253506.494745631,645234.602061626
index_hat_t,2021,441056.255553225,192949.735710591,244998.33978014,753479.656768517
k,2000,1440167.01383385,563974.114692034,916575.585352325,2433425.35034541
log_b,2000,14.0269660688759,0.325897989592109,13.61376565616,14.6301172824862
log_b,2001,14.2800222836099,0.325335649928953,13.8415230551786,14.8659432060938
log_b,2002,14.1527329550899,0.36761686050626,13.6841692050481,14.8225374894815
log_b,2003,14.1181940429524,0.361421821858496,13.6191881237726,14.7410910683044
log_b,2004,13.9586325071271,0.352434049193422,13.4512523189581,14.5659421789735
log_b,2005,13.7655007973395,0.367758615496243,13.2299509949981,14.3919207729076
log_b,2006,13.3273393325537,0.343358806591693,12.8556116188004,13.9424466065836
log_b,2007,13.1556160337309,0.297028774612657,12.7643727533652,13.6842292842796
log_b,2008,12.8759343024034,0.323135947992484,12.4996750785707,13.4575308678118
log_b,2009,12.8502697531018,0.313393968973591,12.4474377004448,13.4178797867197
log_b,2010,12.7564126819806,0.299566242617602,12.3869956620197,13.3048228103371
log_b,2011,12.6616673448829,0.288087724212752,12.3065528297908,13.1662212952624
log_b,2012,12.648009134783,0.299903366304847,12.2756245481599,13.1760676186785
log_b,2013,12.6385318740878,0.282452428851167,12.2927480269029,13.1504752785299
log_b,2014,12.7502749119473,0.26586424494435,12.433008035509,13.2531378290122
log_b,2015,12.8692869992649,0.292513711756828,12.482659929437,13.3573654793453
log_b,2016,12.9824660215786,0.268330367593813,12.6380357244334,13.4579024351508
log_b,2017,13.0712099050503,0.256055060438879,12.7627276560101,13.5433971652492
log_b,2018,13.0344348716622,0.274625702514616,12.6871044073163,13.5118234592635
log_b,2019,12.9184306208595,0.295785510296635,12.5430168784379,13.4451016671989
log_b,2020,12.8328639440742,0.311086924841082,12.4431447218104,13.3773691389333
