variable,year,mean,sd,lower,upper
b_t,1990,934480.36791183,1604953.19564847,113128.730513756,2792979.75517065
b_t,1991,797707.555463751,1450126.26875933,79227.8657891063,2524860.98751184
b_t,1992,761664.119929462,1248185.86848448,82094.8695526872,2387695.10528761
b_t,1993,1040019.99733904,1908564.70627028,90165.9036384204,3322042.16469299
b_t,1994,408712.622481448,808162.04492201,38642.06270029,1307061.62668974
b_t,1995,604715.418128612,1257551.81405232,55269.2280142631,1897052.39107886
b_t,1996,553318.364755654,954530.650462481,51620.5065655022,1715871.80110872
b_t,1997,609749.722769888,1055996.34044679,53179.7354085968,1990135.75697082
b_t,1998,526765.344792215,1000306.66199883,49045.7879523599,1641846.21536765
b_t,1999,650443.642999463,1065231.47214325,62331.6017677627,2107197.88514709
b_t,2000,783742.471512024,1344535.71902347,76077.701650904,2342316.76026415
b_t,2001,812695.157790134,1397475.1291163,79592.4066672166,2501968.00231733
b_t,2002,682238.512403904,1217607.50773037,67557.9519561483,2071488.35665253
b_t,2003,790645.404604455,1379514.99757946,72173.6027717298,2642524.83628506
b_t,2004,614939.939263458,1099008.66277153,58787.3297398768,1955844.70548823
b_t,2005,562538.682517204,939890.170698112,54161.9629659361,1812991.69617847
b_t,2006,605626.85662932,974759.871847775,55408.1156648566,1897129.37424406
b_t,2007,636756.884093655,1053890.91526299,58628.9211233641,2143745.90173802
b_t,2008,474966.612088985,781775.364351987,45056.2462435604,1473637.18856267
b_t,2009,533870.744857571,981479.516274804,54991.5227313687,1659616.48799827
b_t,2010,749209.106230117,1239245.51983688,81036.6125486156,2309282.18519409
b_t,2011,1523150.59451506,2562706.15807329,166482.981296849,4632956.82970394
b_t,2012,883009.205041045,1579074.95675144,85302.4679561576,2787240.69386915
b_t,2013,865883.72010026,1624716.70332122,86012.3702979671,2653324.14644657
b_t,2014,904682.807131696,1579003.25548468,95864.1204421614,2906312.52184546
b_t,2015,1216677.03522842,2205922.57724816,121459.788068431,3781669.27473114
b_t,2016,887985.217772786,2292209.89423719,13272.2381926987,2742864.75335656
b_t,2017,738203.164659713,1531375.78318914,5.12385084657042e-05,2442614.4842149
b_t,2018,722389.630482589,1457923.96517648,3.53578108249747e-05,2405915.98450213
b_t,2019,665808.026344071,1465243.56281553,1.46548059363157e-05,2167129.97464329
b_t,2020,674717.164301156,1529934.69717029,2.24701250629269e-05,2181359.15874541
b_t,2021,681021.202904309,1925834.04926999,1.56761954161372e-05,2245512.03696174
bmsy,1990,530309.814094789,894160.500577913,66491.5140476873,1604916.53708166
ck,1990,0.00528155928112125,0.00504248882516748,0.00063897442359197,0.0154230226976856
ck,1991,0.00444207204287379,0.00424100108406334,0.00053741144841353,0.0129715817423246
ck,1992,0.00429271541766413,0.00409840510558468,0.000519341962032089,0.0125354358054812
ck,1993,0.0052352072250217,0.00499823490081204,0.000633366651956351,0.0152876670621135
ck,1994,0.00158369525006805,0.00151200908214432,0.000191598864216998,0.00462465088204615
ck,1995,0.00463778072418302,0.00442785098689743,0.00056108870643059,0.01354308331474
ck,1996,0.00348670466437746,0.00332887853207058,0.00042182904414604,0.0101817516980333
ck,1997,0.00490044237541382,0.00467862322491161,0.000592866079032433,0.0143100985829818
ck,1998,0.00328584575461273,0.00313711152653033,0.000397528700391689,0.00959521061055429
ck,1999,0.00640945931287703,0.0061193343178166,0.00077543020005871,0.0187166764966063
ck,2000,0.00470730880833235,0.0044942318734306,0.000569500363884019,0.0137461167680982
ck,2001,0.00575280518480003,0.00549240372278116,0.000695986768554102,0.0167991383260018
ck,2002,0.00571160335715599,0.00545306690113187,0.000691002082655773,0.0166788222054933
ck,2003,0.00460945446767773,0.00440080692201355,0.000557661734875489,0.0134603659818904
