variable,year,mean,sd,lower,upper
b_t,2000,34294113.3171897,15161833.5868919,21262780.6421104,57261218.6782261
b_t,2001,33050675.2827978,16569386.8406926,19146259.9427094,55635419.3358412
b_t,2002,36968003.3297447,19732241.4895817,21191269.8431993,63040239.3085214
b_t,2003,36104841.8969862,19392370.169124,20928255.4244522,60373286.6859853
b_t,2004,34019819.5763895,18390861.1584133,19764916.7546594,57427475.9543167
b_t,2005,29627512.9757984,15464855.7161833,17331180.3607104,49331864.8011345
b_t,2006,19361347.3092087,10155517.5834156,11067784.5596371,31801639.8591405
b_t,2007,14716542.5064161,7149187.03902802,8792227.48171721,24206321.4279169
b_t,2008,13293396.1167004,6317357.31594302,7998109.96909588,21636568.3790241
b_t,2009,14018226.5368644,7011906.72602499,8440613.49226672,22560073.7212522
b_t,2010,13986620.1129508,6642894.16439895,8618640.36546646,22688210.0779967
b_t,2011,15169360.7003683,7005632.91145835,9385179.58892652,24795522.2909069
b_t,2012,15092446.6852761,6962821.35172978,9648078.90750754,24022536.241945
b_t,2013,13582478.8120272,6928530.32672416,8343229.8058628,22191126.8207806
b_t,2014,12677203.6450726,6369724.97657623,7758227.51195551,20492553.4146769
b_t,2015,10861830.3852681,5528136.31541899,6572034.07844592,17532015.6202241
b_t,2016,10726847.9048079,5098487.90257451,6623615.64462834,17198806.0251805
b_t,2017,11605725.800739,5455155.7726376,7231863.99956879,18478342.9343075
b_t,2018,13263636.5780059,6062485.94852255,8355851.01517387,21186755.3324627
b_t,2019,12387346.4390265,5564391.06021227,7885438.28698201,19487717.3281703
b_t,2020,11851297.021949,5782331.11167078,7157111.37730137,19914026.9627899
b_t,2021,11292342.5207419,5882469.86227649,6481841.30318294,18851553.0586136
bmsy,2000,18802942.9944242,8057820.55282489,11816117.4799561,30434395.3624756
ck,2000,0.0821937911013888,0.0227667176537009,0.0458480509502172,0.11808925584318
ck,2001,0.0546055575815393,0.0151251000242621,0.0304592153813079,0.0784527586974504
ck,2002,0.0739972466024195,0.0204963708082337,0.0412759830997282,0.106313137143717
ck,2003,0.0809975437555048,0.0224353711468323,0.045180779024586,0.116370586379381
ck,2004,0.0956211197403276,0.0264859304539608,0.053337872739846,0.137380533513755
ck,2005,0.075210429201009,0.0208324081817915,0.0419527015823133,0.108056137780987
ck,2006,0.0574433168826995,0.0159111261207952,0.0320421297508807,0.0825298170694472
ck,2007,0.0860799750817748,0.0238431451094274,0.04801578112481,0.12367260427089
ck,2008,0.0785554803153834,0.0217589481702465,0.0438185855118395,0.112862031164912
ck,2009,0.0956731330555933,0.0265003375332184,0.0533668859912903,0.137455261952623
ck,2010,0.0904710357610761,0.0250594174986959,0.0504651336981907,0.129981317873616
ck,2011,0.110141906104382,0.0305080182397929,0.0614376299615947,0.158242801003933
ck,2012,0.128149528463722,0.0354959187658051,0.0714823593305668,0.18411466669384
ck,2013,0.10520600152978,0.0291408304715959,0.058684361115015,0.1511513006568
ck,2014,0.0942339311017667,0.0261016954449248,0.0525640929381593,0.13538753535846
ck,2015,0.0683972150482451,0.0189452276435579,0.0381522613614049,0.0982674739607765
ck,2016,0.0686573994350271,0.0190172956719624,0.0382973933338056,0.0986412854154544
ck,2017,0.0727019206650555,0.0201375806917259,0.0405534447087183,0.104452119736344
ck,2018,0.105036295571365,0.0290938239083553,0.0585896983999399,0.150907481141082
ck,2019,0.112246413142318,0.0310909420457262,0.0626115330582573,0.161266383037276
ck,2020,0.091910915125011,0.025458247221657,0.0512683046135998,0.132050017714718
ck,2021,0.090258181724029,0.0250004594229341,0.0503464027988767,0.129675506759403
crashed,2000,0,0,0,0
delta,2000,100,0,100,100
dep_t,2000,0.912382958654523,0.0731791480023883,0.790267185411453,1.02790938099156
dep_t,2001,0.875788496350344,0.13566553926024,0.683805129678065,1.10551702556799
dep_t,2002,0.979080801919238,0.168618175232067,0.730357900705739,1.2727200373487
dep_t,2003,0.955492339981882,0.164339506336349,0.708787380504802,1.22190124085178
dep_t,2004,0.900030258892238,0.160467795070992,0.659972370909785,1.17096547703249
dep_t,2005,0.78607748304525,0.141695420699843,0.579331087721068,1.02581966212256
dep_t,2006,0.514671801969273,0.0927587542299048,0.377919407145781,0.666920827803838
dep_t,2007,0.39372324849845,0.0663922826781639,0.299062661733436,0.503408788227295
dep_t,2008,0.356036235181357,0.0608012068917071,0.268653822779098,0.458283121405567
dep_t,2009,0.375625451407984,0.0659678959303681,0.276621416920446,0.487916824359057
dep_t,2010,0.375475929053266,0.065206830534272,0.285655873584877,0.479055850968093
dep_t,2011,0.408031305551678,0.0709720305052196,0.306589943745327,0.528641944594367
dep_t,2012,0.406559277818004,0.070806442316256,0.303938489568276,0.524618983516559
dep_t,2013,0.363414536560851,0.0638916852681906,0.268771937599651,0.470932821204015
dep_t,2014,0.338892552650239,0.0591992841889125,0.254924507257434,0.44210114295595
dep_t,2015,0.290083883396406,0.0506066470574128,0.21888132269647,0.379787008690086
dep_t,2016,0.287663319279507,0.0494093975788313,0.218246623979009,0.373128017606655
dep_t,2017,0.311530395392096,0.0524637960924267,0.234054365104584,0.398608259366399
dep_t,2018,0.357394792967833,0.0605193625209675,0.270488079338269,0.457193096599332
dep_t,2019,0.334393268904934,0.0566615898014795,0.253083533249881,0.429803210907503
dep_t,2020,0.316877504335565,0.0567175422195016,0.234452881569569,0.409673243725281
dep_t,2021,0.300666880927173,0.0593722501650936,0.212111286518502,0.399594715235404
growth_t,2000,0.0302644682797089,0.0251789377403378,-0.0114811156225008,0.0702289889913269
growth_t,2001,0.0375564278413542,0.0472416279678228,-0.0447245215349892,0.094656928495092
growth_t,2002,-0.00202520205155841,0.0711776801592598,-0.134945794175125,0.083001363909217
growth_t,2003,0.00751375524247865,0.0660148219675078,-0.108122693633247,0.0863820570232817
growth_t,2004,0.0268945822454067,0.0587961524132794,-0.079950693838686,0.0957503575946211
growth_t,2005,0.0605157949875485,0.0422513194887319,-0.0104522935391494,0.110116552725179
growth_t,2006,0.0983297492240038,0.0206789629801156,0.068895411673833,0.133129635548859
growth_t,2007,0.0955255036467524,0.0198990667124429,0.0676842802495197,0.128911420197875
growth_t,2008,0.0919904743216262,0.0196357945608371,0.0645292003178343,0.12518495788079
growth_t,2009,0.0938578933606751,0.019862372625208,0.0659184387028572,0.127211578997332
growth_t,2010,0.0938976468001318,0.0197898136842697,0.0661163998588516,0.128001251254484
growth_t,2011,0.0964934857446994,0.0203172957070463,0.067521766194141,0.130632538450208
growth_t,2012,0.0963714614326581,0.020180860031322,0.067828871251006,0.130508759043469
growth_t,2013,0.0927273625576911,0.0199801645175538,0.064299538009029,0.127272617698707
growth_t,2014,0.08997173326038,0.0195845453118135,0.0614995292532606,0.1238838546489
growth_t,2015,0.0829338565396416,0.0184772295227172,0.0566052215140365,0.11447236208845
growth_t,2016,0.0825896735600592,0.0185041733621065,0.0556225440358885,0.113838506380029
growth_t,2017,0.0864205890783428,0.0193570953722223,0.0586157939215369,0.119181916949403
growth_t,2018,0.092255646808071,0.0200804313703082,0.0639545497236794,0.126007273277345
growth_t,2019,0.0896113483451394,0.0200986478434748,0.0607918406673738,0.124116803966912
growth_t,2020,0.0870320092568165,0.0195603309227938,0.0591173539907917,0.120675059956213
growth_t,2021,0.0843977857409607,0.0196989783450721,0.0554929798754502,0.117787975003779
index_hat_t,2000,34294113.3171897,15161833.5868919,21262780.6421104,57261218.6782261
index_hat_t,2001,33050675.2827978,16569386.8406926,19146259.9427094,55635419.3358412
index_hat_t,2002,36968003.3297447,19732241.4895817,21191269.8431993,63040239.3085214
index_hat_t,2003,36104841.8969862,19392370.169124,20928255.4244522,60373286.6859853
index_hat_t,2004,34019819.5763895,18390861.1584133,19764916.7546594,57427475.9543167
index_hat_t,2005,29627512.9757984,15464855.7161833,17331180.3607104,49331864.8011345
index_hat_t,2006,19361347.3092087,10155517.5834156,11067784.5596371,31801639.8591405
index_hat_t,2007,14716542.5064161,7149187.03902802,8792227.48171721,24206321.4279169
index_hat_t,2008,13293396.1167004,6317357.31594302,7998109.96909588,21636568.3790241
index_hat_t,2009,14018226.5368644,7011906.72602499,8440613.49226672,22560073.7212522
index_hat_t,2010,13986620.1129508,6642894.16439895,8618640.36546646,22688210.0779967
index_hat_t,2011,15169360.7003683,7005632.91145835,9385179.58892652,24795522.2909069
index_hat_t,2012,15092446.6852761,6962821.35172978,9648078.90750754,24022536.241945
index_hat_t,2013,13582478.8120272,6928530.32672416,8343229.8058628,22191126.8207806
index_hat_t,2014,12677203.6450726,6369724.97657623,7758227.51195551,20492553.4146769
index_hat_t,2015,10861830.3852681,5528136.31541899,6572034.07844592,17532015.6202241
index_hat_t,2016,10726847.9048079,5098487.90257451,6623615.64462834,17198806.0251805
index_hat_t,2017,11605725.800739,5455155.7726376,7231863.99956879,18478342.9343075
index_hat_t,2018,13263636.5780059,6062485.94852255,8355851.01517387,21186755.3324627
index_hat_t,2019,12387346.4390265,5564391.06021227,7885438.28698201,19487717.3281703
index_hat_t,2020,11851297.021949,5782331.11167078,7157111.37730137,19914026.9627899
index_hat_t,2021,11292342.5207419,5882469.86227649,6481841.30318294,18851553.0586136
k,2000,37605885.9888485,16115641.1056498,23632234.9599123,60868790.7249511
log_b,2000,17.2898485523122,0.322149504247546,16.8724687047712,17.8631340980299
log_b,2001,17.2404211829344,0.352295935090576,16.7676179319714,17.8343271371577
log_b,2002,17.3489043840889,0.357647702089243,16.8690998463054,17.9592837767085
log_b,2003,17.3244939048646,0.358405296342673,16.8566107274486,17.9160561486338
log_b,2004,17.263740804665,0.361142486529724,16.79941896385,17.8660333847436
log_b,2005,17.1282338458685,0.35576414233872,16.6680177688469,17.7140807125137
log_b,2006,16.7044552483964,0.350889649783366,16.2195490976451,17.275028334699
log_b,2007,16.4386937067938,0.331297166323501,15.989378648423,17.002123753234
