variable,year,mean,sd,lower,upper
b_t,1990,45859.008503281,37934.4694904759,27041.058461694,82535.9101575891
b_t,1991,44666.0369858889,30953.5560495388,23432.0669778011,92705.9746976703
b_t,1992,43988.1965717919,52727.7628261317,20400.5045860714,88947.8651676326
b_t,1993,36929.8124464007,52247.6455121312,15192.1935422853,81086.4537481835
b_t,1994,21273.8460185647,25950.5187058875,9838.14490968941,42043.378364662
b_t,1995,11213.8339818304,11259.8065758815,6002.69629064743,24526.8820214197
b_t,1996,10472.6017257537,12323.3869416722,4753.89207448556,20491.0592005723
b_t,1997,8115.4198734244,8639.32969151977,3680.34758253796,17222.6719613051
b_t,1998,6258.67132013207,6811.29494890546,2842.84608598299,12710.6010487477
b_t,1999,7747.39692572587,8664.89503556088,3385.6534149473,15395.4969274283
b_t,2000,9540.80862139106,12882.9048494648,4297.17339831769,18380.1511674283
b_t,2001,7868.51643378826,9036.08269691696,3567.67975595483,16887.7688285247
b_t,2002,7010.75905022364,6567.12427732292,3615.18019032273,15051.447582727
b_t,2003,9112.52634596306,11087.7292647376,3641.81746211285,19436.790744353
b_t,2004,8691.05409506701,9698.79200240565,3902.98022207938,18053.2190904255
b_t,2005,8721.37212134347,8655.15811152267,4686.77701904519,17196.0913386683
b_t,2006,9560.78018007718,8727.41040824628,5051.5921185656,20593.3637352451
b_t,2007,11532.3722928121,12700.4152429844,5800.20655847669,23690.6691711452
b_t,2008,11788.5905834122,14732.6013721697,5599.53726914053,21751.5896552403
b_t,2009,12501.5872236409,12745.8234229161,6135.37153378132,25161.7750114648
b_t,2010,12619.2457030148,10817.0072211791,6308.37883061544,27086.4784627405
b_t,2011,12434.5941220787,12730.6646003643,6588.37232501752,22973.6824137474
b_t,2012,13718.8986524048,12948.4525799797,7377.79145019572,26617.30061832
b_t,2013,18930.6216916153,20310.7947747714,9901.65809010873,36127.7223484701
b_t,2014,20063.0297514892,20712.70049987,9286.2430362305,42080.9502153265
