variable,year,mean,sd,lower,upper
b_t,1950,91112.4273600185,9080.59768935805,78186.231150662,106026.997537025
b_t,1951,167170.316081352,70089.6389671132,96693.7224705305,310061.686575138
b_t,1952,38892.7259847672,7583.84914105728,27439.4795216223,49110.4600006767
b_t,1953,49977.7167627821,9755.43868338917,35017.8630537652,63702.3201631171
b_t,1954,14117.299849935,5174.2337187844,6715.74877340959,22874.7282429643
b_t,1955,38222.3663580015,34329.9995661094,12358.492468513,131216.351473628
b_t,1956,136768.174723578,120686.807117412,44591.5431945915,467058.028836061
b_t,1957,81111.3044379668,27938.5124270116,35882.8920411594,126705.009604738
b_t,1958,233736.709606257,79310.8133046672,132290.869380336,383284.273035676
b_t,1959,92162.6909960286,19888.1407292001,62979.3585404078,123067.012546686
b_t,1960,176264.840515692,37719.5969288058,123379.241807535,236452.814405988
b_t,1961,55180.1555082551,12793.2894495447,40124.1082867435,79256.7655898314
b_t,1962,19472.6562159592,6183.6741697857,11929.2379324159,30339.8513046523
b_t,1963,105981.166565535,31886.6387554125,62746.906784339,155471.379049197
b_t,1964,71700.5570142275,18569.0038691897,46374.1110735754,110505.232254329
b_t,1965,78319.9591284477,24524.3897997613,50677.1530853424,126866.398727645
b_t,1966,48912.6138749837,13154.8383654418,31826.1968192744,74524.2954008136
b_t,1967,74812.2317253483,15908.7095563421,53978.0543488789,104879.15387473
b_t,1968,50182.5994823117,10536.857363274,37193.3037810467,69147.3300843281
b_t,1969,79240.4816993119,43654.7265183694,17949.3442805874,149301.925650752
b_t,1970,150510.30136208,65682.6568142797,60639.7209205813,268456.314077891
b_t,1971,60232.3172877397,20192.7581491354,27384.007636524,89896.9869038063
b_t,1972,83119.5692622688,21043.7024972413,48350.7385165777,114754.086111038
b_t,1973,209814.688143865,44670.6550563579,130191.894064012,274360.133076164
b_t,1974,106496.776426799,23304.6666951443,72437.444920565,134799.689858891
b_t,1975,128993.148837499,56582.004885317,56495.2799880586,219981.879386267
b_t,1976,100140.056665278,42869.9626106062,46980.0595407873,179442.351060675
b_t,1977,227691.317842895,104010.540549137,89573.7540352849,373317.627314002
b_t,1978,162404.614008476,31859.2587896917,117935.676080534,223727.946366837
b_t,1979,145173.201069114,33646.7900275853,95080.4645510627,193508.855470844
b_t,1980,24272.3286198007,6759.97605195433,14021.069417037,33536.3295986135
b_t,1981,38033.8570057276,8639.05886428552,23683.6134759185,50652.4030669971
b_t,1982,185682.923686835,44372.7634256511,120440.730468259,268950.694392568
b_t,1983,58883.2083593418,10453.0326201204,44191.195133358,79139.0764310726
b_t,1984,32404.605656617,8936.85292915231,18698.958686943,48405.0401386947
b_t,1985,49278.4263027943,23254.614216513,22821.540270593,97783.9458606779
b_t,1986,122382.987467567,67993.3505921645,54267.189144281,264504.859471717
b_t,1987,31403.1718983956,11592.5571547269,18604.7989474346,57515.4984551764
b_t,1988,65577.2272914601,26119.1097924482,36150.0608981486,123180.950912378
b_t,1989,116738.962083201,41634.8104916061,57565.5629762814,201284.168650007
b_t,1990,55441.5558717527,9438.08889129451,41975.6633551882,70646.6068775187
b_t,1991,22543.7817490507,2829.75714074772,17498.5139930715,26941.2150491785
b_t,1992,15057.6313278094,1787.95893292077,12127.8734561178,17965.8050849238
b_t,1993,13052.8411714705,637.744852655503,11859.4905727591,13987.2684808804
b_t,1994,1110.78595437725,11.0304951445053,1090.84983074026,1122.60149251053
b_t,1995,0.0114405855600906,0.02811214775189,0.000708871839942592,0.0366456698343124
b_t,1996,0.0479965539982709,0.00520723967600098,0.0407907357761685,0.0561219451418724
b_t,1997,0.0580985228171339,0.00951957840068966,0.0456467341632938,0.0732578228358085
b_t,1998,0.0533160287870694,0.00722689593027199,0.0449309897162966,0.0666447836138429
b_t,1999,0.0539683397287663,0.00471272645664766,0.0475584706723066,0.0615258497195363
b_t,2000,0.0495842183383159,0.00564265831585522,0.0419174642159027,0.0590167777826413
b_t,2001,0.0485082004237019,0.0050488014568205,0.0413547153201352,0.0566900341281615
b_t,2002,0.0531104369686976,0.00462882013322543,0.0456867164397951,0.0604607716951815
b_t,2003,0.0492336297670339,0.00449604367838174,0.0429110814145196,0.0564767350470772
b_t,2004,0.0508182407414875,0.00500289492372992,0.0434926412087248,0.0588677279136994
