variable,year,mean,sd,lower,upper
b_t,1990,74720.4298737,127494.084624224,12311.9244908723,214299.858820441
b_t,1991,52203.6801154541,82423.7006723659,6775.27641212394,157061.089055865
b_t,1992,49789.5282582814,80260.0587533321,6294.64186650434,139419.30585629
b_t,1993,56102.0178558913,98763.9027902986,6511.30070093262,168283.643416235
b_t,1994,42484.5184202341,68160.9234059328,5300.63238722783,131499.999160113
b_t,1995,37105.8380619263,62721.7285536427,4426.57204038801,111444.904285493
b_t,1996,29551.058689851,47189.1928365477,3438.00292178139,90421.0700933357
b_t,1997,27889.8462785669,48896.059113727,3299.0986493149,88557.7079986184
b_t,1998,33102.951294395,59356.6925697444,3790.30583307494,100490.899865887
b_t,1999,32266.5939319928,52819.16181254,3801.2005380076,94222.0819308622
b_t,2000,37650.6263063224,63253.7141620307,4231.72306080439,120552.522697345
b_t,2001,31488.2567477811,52266.6753811388,3623.43518935668,94726.0034397297
b_t,2002,28464.1833704327,50218.1795652451,3355.74597102106,84219.6265518275
b_t,2003,28151.7932576732,41508.4860242104,3538.42352359406,92130.1803210123
b_t,2004,27872.2553419198,45560.8308268991,3126.01173435059,91409.1888410016
b_t,2005,46431.9648871381,77326.6751578504,5513.46705256395,138307.428291652
b_t,2006,55843.913298995,103598.10007383,6362.13603162955,168522.177505317
b_t,2007,38636.9844109077,62032.8217415621,4728.18202588134,127852.869185791
b_t,2008,40247.9964898023,69434.99819824,4638.94922668747,120579.485287338
b_t,2009,43041.178888955,75045.9652131005,5239.12104863307,123447.838873793
b_t,2010,39775.2338533008,69440.2430060694,4844.66933373444,115787.623495411
b_t,2011,43562.4282413025,72135.01531082,5727.6021806962,136431.115219579
b_t,2012,62777.4302721954,95279.2377143257,8495.28699207717,197649.083653849
b_t,2013,151522.753254911,261352.174693698,21905.1136364901,436673.710017888
b_t,2014,109286.04652319,228514.364160083,14441.4662560484,316509.924902997
b_t,2015,137096.831467687,218365.982154818,16566.5702982515,421595.292406058
b_t,2016,77653.8369800501,154253.549678089,2.83950084985035e-06,254992.913560141
b_t,2017,66870.6196010811,152515.207150715,6.54866432166238e-06,223254.215828322
b_t,2018,58247.1127826687,114304.635677146,3.09048558669317e-06,206412.80895267
b_t,2019,54571.0079951391,134246.22321873,1.33402743913472e-06,172193.240551354
b_t,2020,49449.8950659431,92864.0912619045,5.20455842904279e-07,168840.086116398
b_t,2021,51374.2397877989,113605.936036405,3.40969721807382e-07,180324.976990314
bmsy,1990,43760.0363391576,74882.2837216409,7425.60901214017,122892.749529715
ck,1990,0.00679186255921673,0.00557061258836031,0.00107410745232589,0.0177763236519504
ck,1991,0.0074607581142911,0.00611923352509277,0.00117989076202465,0.0195270221934304
ck,1992,0.00707485683251743,0.00580272144620866,0.00111886192950613,0.018517003804115
ck,1993,0.00779520589182829,0.00639354399345899,0.00123278241687403,0.0204023714641703
ck,1994,0.00766657213123706,0.00628803996716429,0.00121243947270119,0.0200656986677319
ck,1995,0.00735785110581812,0.006034830304057,0.00116361640668638,0.0192576839562796
ck,1996,0.00529971093635851,0.00434676588334176,0.000838129299920957,0.0138709192132643
ck,1997,0.00514535042364904,0.00422016105178811,0.000813717766913551,0.0134669118575382
ck,1998,0.00846410144690267,0.00694216493019145,0.00133856572657279,0.0221530700056503
ck,1999,0.00794956640453776,0.00652014882501264,0.00125719394988144,0.0208063788198965
ck,2000,0.00704913008039918,0.00578162064094972,0.00111479334067156,0.0184496692448273
ck,2001,0.00571133897025043,0.00468437876748481,0.000903226721274041,0.0149482721618674
ck,2002,0.00663750204650726,0.00544400775680667,0.00104969591931848,0.0173723162962242
ck,2003,0.00421918734739221,0.00346053206246625,0.000667248568869111,0.0110428677231813
ck,2004,0.00378183256138204,0.00310181837306426,0.00059808255868146,0.00989818021529056
ck,2005,0.0141239869129166,0.0115843420871584,0.0022336552701777,0.0369666730489423
ck,2006,0.0147671557158727,0.0121118622186319,0.00233536999104189,0.0386500370311346
ck,2007,0.00689476956768971,0.00565501580939607,0.00109038180766416,0.0180456618891012
ck,2008,0.00789811290030127,0.00647794721449476,0.0012490567722123,0.0206717097013211
ck,2009,0.00797529315665601,0.00654124963027158,0.001261262538716,0.0208737133791842
ck,2010,0.0077437523875918,0.00635134238294111,0.00122464523920489,0.020267702345595
ck,2011,0.00944171802739598,0.00774399553003119,0.00149317210228637,0.0247117832585826
ck,2012,0.0120915734955752,0.00991737847170207,0.00191223675224684,0.0316472428652147
ck,2013,0.125675184097628,0.103077433689925,0.0198750564568635,0.32892932212037
ck,2014,0.0419860594569761,0.034436514182591,0.00663993697801457,0.109890000757512
ck,2015,0.0533572838932405,0.0437630701070428,0.00843825324289352,0.139651875962671
ck,2016,0.0574735642321597,0.0471391989484732,0.00908922745642436,0.150425405448701
ck,2017,0.0592229833762004,0.0485740537060812,0.00936589149717497,0.155004155480264
ck,2018,0.0643683337998495,0.0527942147578693,0.0101796092640885,0.168471067337803
ck,2019,0.0591715298719639,0.0485318520955633,0.00935775431950583,0.154869486361689
ck,2020,0.0564496394978536,0.0462993868991674,0.00892729762080856,0.147745489989051
ck,2021,0.0609466757681228,0.0499878076584302,0.00963848694909101,0.15951557095254
crashed,1990,0,0,0,0
delta,1990,100,0,100,100
dep_t,1990,0.851984642095557,0.0772464039165464,0.729855779811692,0.979388800543111
dep_t,1991,0.5994143611976,0.250315550669058,0.275996570846602,1.05029913662997
dep_t,1992,0.573704336790359,0.260590986357102,0.257119862590341,1.05717983628719
dep_t,1993,0.621762020359526,0.306086745922255,0.266828846686419,1.16241877550631
dep_t,1994,0.481072095774315,0.224589386488758,0.216372412041197,0.897229840029565
dep_t,1995,0.42188263299568,0.200054498898551,0.185398198919202,0.783491458658732
dep_t,1996,0.337187238684519,0.160506265802105,0.150847472666969,0.60835495832644
dep_t,1997,0.309484473809814,0.14420822153149,0.135358369939317,0.558009285200784
dep_t,1998,0.371315150612465,0.178694530980309,0.154408480299479,0.69344920360614
dep_t,1999,0.366272182199046,0.172960100710418,0.162092560890525,0.673447856924847
dep_t,2000,0.419105252791677,0.20892596805669,0.180907944798704,0.781855294343647
dep_t,2001,0.356378214203526,0.169478079533115,0.153471301092525,0.655836279763714
dep_t,2002,0.323326190317951,0.159888946987292,0.142567934821854,0.612822612376348
dep_t,2003,0.322698065274967,0.149343569820831,0.139629589911306,0.592920270400098
dep_t,2004,0.313929348331337,0.146016931514646,0.139499147217571,0.567016062544016
dep_t,2005,0.52513725256701,0.243873309304175,0.230637812641782,0.954885746019961
dep_t,2006,0.617077599368165,0.304297169742876,0.258172991189328,1.17850225645205
dep_t,2007,0.432807390322931,0.193996811303696,0.193212237860884,0.773747321128902
dep_t,2008,0.448454879093776,0.211211535759345,0.191250421702725,0.830008879967074
dep_t,2009,0.484872558475375,0.237091253108855,0.202784423578074,0.905732790636613
dep_t,2010,0.449790068409753,0.207717191528996,0.198998544835717,0.823926106055148
dep_t,2011,0.495294792421293,0.218961272256145,0.228753154526798,0.888504203540537
dep_t,2012,0.715766503690606,0.260520235489763,0.375254666212935,1.17418945248106
dep_t,2013,1.69526183186397,0.397266265926987,1.06990454569056,2.3313475647279
dep_t,2014,1.20692125373509,0.383660795904185,0.662796694777024,1.85497301230837
dep_t,2015,1.54952790332525,0.624760746388027,0.729027834420702,2.6791548678931
dep_t,2016,0.843250792120498,0.54344503230919,2.37613603245358e-11,1.82621847093241
dep_t,2017,0.700599914613311,0.506645522488629,6.25448414421105e-11,1.55886408552169
dep_t,2018,0.640590809469423,0.516113655944451,4.15360162347278e-11,1.57478725919159
dep_t,2019,0.570800873597179,0.475303224077341,2.84119458919496e-11,1.37864199838402
dep_t,2020,0.528478299607621,0.459537049845789,1.66834772360612e-11,1.29305184004521
dep_t,2021,0.507402657035856,0.478640791890946,1.56282436110443e-11,1.33868438046543
growth_t,1990,0.0687686372699453,0.0343405562250062,0.011404987885591,0.122590588862121
growth_t,1991,0.100503084862186,0.105796035261967,-0.0315254173862624,0.17421844086434
growth_t,1992,0.101424452441342,0.103830991730449,-0.0378321264408934,0.174160950736537
growth_t,1993,0.081077797255458,0.162678985801832,-0.099979791725409,0.174674977425517
growth_t,1994,0.113871620547354,0.0691479265549885,0.044567267603377,0.173833265794621
growth_t,1995,0.116352498253089,0.0740699812366615,0.0684874830625655,0.174525688221542
growth_t,1996,0.113402166619032,0.0404037864386965,0.0640061087971877,0.171043393935818
growth_t,1997,0.110563521406082,0.0351232678372335,0.0613298593324697,0.164992629469065
growth_t,1998,0.115506323986518,0.0394167743171972,0.0634454336418971,0.168876237353568
growth_t,1999,0.116103347449899,0.0375615236090409,0.0661959659692041,0.171708301029986
growth_t,2000,0.113849153464613,0.0775225457697489,0.0650158475870394,0.171417328017448
growth_t,2001,0.114656363058964,0.0404412168177102,0.0636979020422723,0.167339542137575
growth_t,2002,0.110881499463672,0.0469140540142575,0.0624252064553914,0.1668852754249
growth_t,2003,0.112549583549182,0.035727428878144,0.0631181249843608,0.16800586228655
growth_t,2004,0.111131769858526,0.0363628101499995,0.0615268048258554,0.167125826457833
growth_t,2005,0.10841377904101,0.0940854182159973,0.0222292712458974,0.17525508382862
growth_t,2006,0.0806955828327878,0.162791299757866,-0.114030282858373,0.171729849177242
growth_t,2007,0.119317247093536,0.0496729225972545,0.0686294270243548,0.175353259841872
growth_t,2008,0.115773328763484,0.0537942928460463,0.0653793420861433,0.171830529958394
growth_t,2009,0.110522172785573,0.0880149251578399,0.047158665460652,0.175752176833719
growth_t,2010,0.116838395966915,0.0641343250996257,0.065370542187057,0.173820625011452
growth_t,2011,0.115924799943777,0.0642577271598615,0.0548494159245741,0.173662824772885
growth_t,2012,0.0782158525867705,0.128901419659086,-0.114030295978527,0.170955240139717
growth_t,2013,-0.72457178737549,0.482024579663213,-1.57655677336789,-0.0461162891020311
